"STATION","NAME","DATE","PRCP","TAVG"
"IN022023000","NEW DELHI PALAM, IN","2022-09-12",,"30.9"
"IN022023000","NEW DELHI PALAM, IN","2022-09-13","6.1","30.1"
"IN022023000","NEW DELHI PALAM, IN","2022-09-14","0.0","27.8"
"IN022023000","NEW DELHI PALAM, IN","2022-09-15","6.1","25.9"
"IN022023000","NEW DELHI PALAM, IN","2022-09-16","4.1","24.9"
"IN022023000","NEW DELHI PALAM, IN","2022-09-17","2.0","28.6"
"IN022023000","NEW DELHI PALAM, IN","2022-09-18","0.0","30.1"
"IN022023000","NEW DELHI PALAM, IN","2022-09-19",,"29.3"
"IN022023000","NEW DELHI PALAM, IN","2022-09-20",,"28.7"
"IN022023000","NEW DELHI PALAM, IN","2022-09-21",,"27.1"
"IN022023000","NEW DELHI PALAM, IN","2022-09-22",,"25.5"
"IN022023000","NEW DELHI PALAM, IN","2022-09-23","102.1","25.0"
"IN022023000","NEW DELHI PALAM, IN","2022-09-24","39.9","25.4"
